city,county,flyers,state,lat,long
Aberdeen,Harford,4,Maryland,39.5120347,-76.1643289
Abingdon,Harford,8,Maryland,39.4623305,-76.2791236
Adelphi,Prince George's,4,Maryland,39.0030666,-76.9721023
Annapolis,Anne Arundel,12,Maryland,38.9786401,-76.492786
Arundel,Cecil,4,Maryland,39.5659836,-75.8729676
Ashton,Montgomery,4,Maryland,39.149274,-77.0124774
Aspen Hill,Montgomery,21,Maryland,39.0794975,-77.0735251
Baltimore,Baltimore City,165,Maryland,39.2908816,-76.610759
Bel Air,Harford,63,Maryland,39.5355063,-76.3490396
Bethesda,Montgomery,160,Maryland,38.9847457,-77.0944673
Bladensburg,Prince George's,4,Maryland,38.9392997,-76.9337983
Bowie,Prince George's,4,Maryland,38.9424464,-76.7301718
Boyds,Montgomery,6,Maryland,39.1840886,-77.3122325
Braddock Heights,Frederick,4,Maryland,39.4187479,-77.5035607
Brookeville,Montgomery,4,Maryland,39.1803067,-77.0584474
Butler,Baltimore County,4,Maryland,39.5345352,-76.7276374
Cardiff,Harford,5,Maryland,39.7173269,-76.3377371
Cascade,Washington,6,Maryland,39.7109284,-77.4894339
Chesapeake Beach,Calvert,16,Maryland,38.6938503,-76.534134
Chevy Chase,Montgomery,39,Maryland,38.9813699,-77.0849245
Chillum,Prince George's,4,Maryland,38.9637218,-76.9908093
Churchville,Harford,14,Maryland,39.5595976,-76.2501676
Clarksburg,Montgomery,12,Maryland,39.2302156,-77.2508469
Clayton,Harford,4,Maryland,39.4503856,-76.3546818
Clements,St. Mary's,4,Maryland,38.3262383,-76.7271876
Cloverly,Montgomery,4,Maryland,39.1081637,-76.9977546
Cockeysville,Baltimore County,41,Maryland,39.4845658,-76.6502845
Colesville,Montgomery,12,Maryland,39.0756643,-77.0019212
College Park,Prince George's,20,Maryland,38.980666,-76.9369189
Columbia,Howard,16,Maryland,39.2156213,-76.8582049
Cooksville,Howard,5,Maryland,39.3201044,-77.0205346
Craigtown,Cecil,4,Maryland,39.6003895,-76.0732828
Crofton,Anne Arundel,4,Maryland,39.0017772,-76.6874671
Cumberland,Allegany,4,Maryland,39.6526498,-78.762383
Damascus,Montgomery,4,Maryland,39.2884381,-77.2038717
Davidsonville,Anne Arundel,4,Maryland,38.9228697,-76.6277374
Detour,Carroll,4,Maryland,39.6039885,-77.2680393
Dorsey,Howard,4,Maryland,39.2443361,-76.8398433
Drury,Anne Arundel,4,Maryland,38.8123368,-76.6927436
Dublin,Harford,4,Maryland,39.6509393,-76.2666233
Dunkirk,Calvert,8,Maryland,38.721839,-76.6603804
Easton,Talbot,8,Maryland,38.7744952,-76.0763065
Edgewood,Harford,15,Maryland,39.4187194,-76.2944016
Eldersburg,Carroll,32,Maryland,39.4037147,-76.9502567
Elkridge,Howard,13,Maryland,39.2128338,-76.7137155
Elkton,Cecil,11,Maryland,39.6065073,-75.8330934
Ellicott City,Howard,12,Maryland,39.2673284,-76.7983067
Emmitsburg,Frederick,10,Maryland,39.7045417,-77.3269307
Fairfield,Baltimore City,8,Maryland,39.42042715,-77.43104814033993
Fallston,Harford,28,Maryland,39.5145515,-76.4110732
Fenby,Carroll,4,Maryland,39.5273237,-76.9924815
Finksburg,Carroll,16,Maryland,39.4928811,-76.8894232
Forest Hill,Harford,12,Maryland,39.5851063,-76.387739
Fort Washington,Prince George's,4,Maryland,38.7125305,-77.0124598
Frederick,Frederick,147,Maryland,39.415779,-77.4127562
Gaither,Carroll,4,Maryland,39.3614927,-76.9930347
Gaithersburg,Montgomery,33,Maryland,39.1399187,-77.1929215
Galena,Kent,21,Maryland,39.3406983,-75.8786196
Garrison,Baltimore County,8,Maryland,39.4059391,-76.7605299
Germantown,Montgomery,22,Maryland,39.1731621,-77.2716502
Glen Burnie,Anne Arundel,4,Maryland,39.1626298,-76.6250756
Glenarden,Prince George's,4,Maryland,38.9292782,-76.8616387
Glenmont,Montgomery,12,Maryland,39.0578804,-77.0497755
Greater Landover,Prince George's,4,Maryland,38.9340002,-76.8966397
Greenbelt,Prince George's,8,Maryland,39.004607,-76.8756838
Greenmount,Carroll,8,Maryland,39.6312139,-76.8624777
Hagerstown,Washington,40,Maryland,39.6430455,-77.7191081
Halfway,Washington,4,Maryland,39.6206521,-77.7588828
Hampstead,Carroll,56,Maryland,39.6028444,-76.8534845
Harrisonville,Baltimore County,17,Maryland,39.3859384,-76.8333092
Havre de Grace,Harford,4,Maryland,39.5491329,-76.095817
Havre De Grace,Harford,9,Maryland,39.5491329,-76.095817
Hereford,Baltimore County,12,Maryland,39.5889939,-76.6633047
Hickory,Harford,13,Maryland,39.5787178,-76.3452374
Hughesville,Charles,1,Maryland,38.532905,-76.7838684
Hunt Valley,Baltimore County,54,Maryland,39.4922608,-76.6589528
Hyattsville,Prince George's,8,Maryland,38.9529442,-76.9408647
Jarrettsville,Harford,21,Maryland,39.60455,-76.4777422
Joppatowne,Harford,4,Maryland,39.4156237,-76.3592511
Kensington,Montgomery,37,Maryland,39.0258405,-77.0750246
Keymar,Carroll,8,Maryland,39.5995443,-77.2369278
Knoxville,Frederick,3,Maryland,39.3270456,-77.6641576
La Plata,Charles,4,Maryland,38.5260311,-76.9766569
Laurel,Prince George's,12,Maryland,39.1044123,-76.8669233
Laytonsville,Montgomery,8,Maryland,39.2087905,-77.1413425
Leonardtown,St. Mary's,4,Maryland,38.2912431,-76.6357946
Lexington Park,St. Mary's,4,Maryland,38.2641725,-76.4533565
Libertytown,Frederick,8,Maryland,39.4851016,-77.24026
Lisbon,Howard,4,Maryland,39.3369974,-77.0736153
Lothian,Anne Arundel,4,Maryland,38.8297276,-76.6159457
Lutherville,Baltimore County,12,Maryland,39.4212175,-76.6260805
Madonna,Harford,4,Maryland,39.6131609,-76.5163548
Manchester,Carroll,20,Maryland,39.6656092,-76.8781927
Marlow Heights,Prince George's,4,Maryland,38.8234836,-76.9498814
Marriottsville,Howard,16,Maryland,39.3501959,-76.8993808
Massey,Kent,8,Maryland,39.3098333,-75.825214
Mattawoman,Charles,4,Maryland,38.6526178,-76.8805268
Maugansville,Washington,4,Maryland,39.6928728,-77.7447161
McCoole,Allegany,2,Maryland,39.446483,-78.9722488
Melrose,Carroll,4,Maryland,39.6898242,-76.8977563
Mexico,Multiple locations,8,Maryland,39.6036999,-78.7427956
Middle River,Baltimore County,4,Maryland,39.3342745,-76.4394057
Middletown,Frederick,10,Maryland,39.4437567,-77.5454038
Millersville,Anne Arundel,4,Maryland,39.0595542,-76.6480219
Millington,Kent,40,Maryland,39.258166,-75.8371586
Mt Airy,Frederick,4,Maryland,39.3837144,-77.1680375
Mt. Airy,Frederick,4,Maryland,39.3837144,-77.1680375
New Market,Frederick,4,Maryland,39.3814276,-77.2733519
North Beach,Calvert,4,Maryland,38.7048671,-76.5334229
North East,Cecil,8,Maryland,39.5992989,-75.9424217
North Kensington,Montgomery,8,Maryland,39.0390737,-77.0744874
Oakland,Garrett,8,Maryland,39.4099097,-79.4062658
Olney,Montgomery,4,Maryland,39.1532123,-77.0668408
Overlea,Baltimore County,4,Maryland,39.3570551,-76.5280151
Owings,Calvert,8,Maryland,38.7176176,-76.6013487
Owings Mills,Baltimore County,24,Maryland,39.4105423,-76.7916963
Oxon Hill,Prince George's,8,Maryland,38.8035961,-76.9896573
Parkville,Baltimore County,4,Maryland,39.3773292,-76.5396875
Pasadena,Anne Arundel,4,Maryland,39.1361859,-76.5490844
Phoenix,Baltimore County,4,Maryland,39.5163872,-76.6177815
Pikesville,Baltimore County,20,Maryland,39.3745035,-76.7227288
Point of Rocks,Frederick,8,Maryland,39.2745318,-77.5358394
Potomac,Montgomery,24,Maryland,39.017936,-77.2094542
Randallstown,Baltimore County,8,Maryland,39.3676844,-76.7954545
Reisterstown,Baltimore County,32,Maryland,39.4695489,-76.8294213
Rising Sun,Cecil,9,Maryland,39.6980597,-76.0628964
Riverside,Harford,5,Maryland,39.4737199,-76.2413446
Robinwood,Washington,4,Maryland,39.6370409,-77.6569363
Rockville,Montgomery,92,Maryland,39.0817985,-77.1516844
Rose Haven,Anne Arundel,4,Maryland,38.72451125,-76.53846888166947
Silver Spring,Montgomery,28,Maryland,38.9959461,-77.0276231
Smithsburg,Washington,9,Maryland,39.6548186,-77.5727681
Somerset,Montgomery,4,Maryland,38.9666168,-77.0969786
Sparks,Baltimore County,4,Maryland,39.1162221,-76.0213318
Springdale,Prince George's,4,Maryland,38.9376113,-76.8388603
Suitland-Silver Hill,Prince George's,4,Maryland,38.8476,-76.9246
Swanton,Garrett,5,Maryland,39.4589834,-79.2308703
Sykesville,Carroll,21,Maryland,39.365992,-76.9688737
Takoma Park,Montgomery,4,Maryland,38.9778882,-77.0074765
Taylorsville,Carroll,12,Maryland,39.4578799,-77.0866481
Temple Hills,Prince George's,4,Maryland,38.8140024,-76.9455296
Thurmont,Frederick,20,Maryland,39.6237094,-77.4108201
Timonium,Baltimore County,37,Maryland,39.4368436,-76.6187044
Towson,Baltimore County,45,Maryland,39.4018513,-76.6023803
Union Bridge,Carroll,4,Maryland,39.5684767,-77.1814707
Unionville,Multiple locations,5,Maryland,39.474824,-77.1855375
Upperco,Baltimore County,8,Maryland,39.5629228,-76.8359846
Urbana,Frederick,8,Maryland,39.3262083,-77.3515368
Waldorf,Charles,12,Maryland,38.6263882,-76.9106581
Walkersville,Frederick,8,Maryland,39.4817659,-77.3507698
West Friendship,Howard,4,Maryland,39.3034518,-76.9537905
Westminster,Carroll,98,Maryland,39.5752639,-76.9959277
Wheaton,Montgomery,24,Maryland,39.0398314,-77.0552555
White Marsh,Baltimore County,4,Maryland,39.3819338,-76.457304
White Oak,Montgomery,8,Maryland,39.0398315,-76.9930319
Whiteford,Harford,13,Maryland,39.7089937,-76.3455151
Wilson,Calvert,4,Maryland,38.6031762,-76.5218989
Winfield,Carroll,12,Maryland,39.4473245,-77.0549812
Woodbine,Howard,7,Maryland,39.359942,-77.0620833
Woodsboro,Frederick,5,Maryland,39.5331563,-77.314706
